count,.pred,by5,isPred,Peak,isPeak,upper,lower
100,104.0195795317332,2024-02-09 14:35:00,0,117.1146390098541,0,NA,NA
112,98.31994613588205,2024-02-09 14:40:00,0,117.1146390098541,0,NA,NA
105,109.36275376918994,2024-02-09 14:45:00,0,117.1146390098541,0,NA,NA
107,102.30886631749291,2024-02-09 14:50:00,0,117.1146390098541,0,NA,NA
105,105.89602846694166,2024-02-09 14:55:00,0,117.1146390098541,0,NA,NA
113,97.74296153158828,2024-02-09 15:00:00,0,117.1146390098541,0,NA,NA
114,102.68196609610062,2024-02-09 15:05:00,0,117.1146390098541,0,NA,NA
117,112.61162812947587,2024-02-09 15:10:00,0,117.1146390098541,0,NA,NA
116,124.03409948140707,2024-02-09 15:15:00,0,117.1146390098541,0,NA,NA
115,121.8443546927419,2024-02-09 15:20:00,0,117.1146390098541,0,NA,NA
115,113.41415232955733,2024-02-09 15:25:00,0,117.1146390098541,0,NA,NA
128,114.63530832708399,2024-02-09 15:30:00,0,117.1146390098541,0,NA,NA
124,128.36757631090768,2024-02-09 15:35:00,0,117.1146390098541,0,NA,NA
118,121.81166111793821,2024-02-09 15:40:00,0,117.1146390098541,0,NA,NA
135,117.7796476609267,2024-02-09 15:45:00,0,117.1146390098541,0,NA,NA
135,134.24594929777365,2024-02-09 15:50:00,0,117.1146390098541,0,NA,NA
131,135.50337916001988,2024-02-09 15:55:00,0,117.1146390098541,0,NA,NA
117,127.81936325894311,2024-02-09 16:00:00,0,117.1146390098541,0,NA,NA
110,115.69198015499514,2024-02-09 16:05:00,0,117.1146390098541,0,NA,NA
113,106.41090498051373,2024-02-09 16:10:00,0,117.1146390098541,0,NA,NA
118,112.79176288677071,2024-02-09 16:15:00,0,117.1146390098541,0,NA,NA
120,118.38401799325962,2024-02-09 16:20:00,0,117.1146390098541,0,NA,NA
131,119.70102398772002,2024-02-09 16:25:00,0,117.1146390098541,0,NA,NA
133,133.52814590120386,2024-02-09 16:30:00,0,117.1146390098541,0,NA,NA
125,135.6332803474898,2024-02-09 16:35:00,0,117.1146390098541,0,NA,NA
126,123.90898278633112,2024-02-09 16:40:00,0,117.1146390098541,0,NA,NA
135,127.49025688089691,2024-02-09 16:45:00,0,117.1146390098541,0,NA,NA
140,133.74039110127913,2024-02-09 16:50:00,0,117.1146390098541,0,NA,NA
132,138.0241964815399,2024-02-09 16:55:00,0,117.1146390098541,0,NA,NA
131,130.04525092338173,2024-02-09 17:00:00,0,117.1146390098541,0,NA,NA
137,129.03465899323942,2024-02-09 17:05:00,0,117.1146390098541,0,NA,NA
146,135.5808435119986,2024-02-09 17:10:00,0,117.1146390098541,0,NA,NA
149,148.6311075420629,2024-02-09 17:15:00,0,117.1146390098541,0,NA,NA
154,150.757790897592,2024-02-09 17:20:00,0,117.1146390098541,0,NA,NA
163,155.3348530180746,2024-02-09 17:25:00,0,117.1146390098541,0,NA,NA
153,163.7303857962957,2024-02-09 17:30:00,0,117.1146390098541,0,NA,NA
140,153.6390277377864,2024-02-09 17:35:00,0,117.1146390098541,0,NA,NA
140,142.07604383699348,2024-02-09 17:40:00,0,117.1146390098541,0,NA,NA
127,140.82972891494003,2024-02-09 17:45:00,0,117.1146390098541,0,NA,NA
119,125.7155358956016,2024-02-09 17:50:00,0,117.1146390098541,0,NA,NA
115,118.42058324977499,2024-02-09 17:55:00,0,117.1146390098541,0,NA,NA
109,110.00527448705527,2024-02-09 18:00:00,0,117.1146390098541,0,NA,NA
118,105.42581517544396,2024-02-09 18:05:00,0,117.1146390098541,0,NA,NA
123,121.48657797659381,2024-02-09 18:10:00,0,117.1146390098541,0,NA,NA
124,124.25241933036168,2024-02-09 18:15:00,0,117.1146390098541,0,NA,NA
119,123.60750509477072,2024-02-09 18:20:00,0,117.1146390098541,0,NA,NA
117,118.4411902787934,2024-02-09 18:25:00,0,117.1146390098541,0,NA,NA
109,114.82139863697476,2024-02-09 18:30:00,0,117.1146390098541,0,NA,NA
107,108.59496197359468,2024-02-09 18:35:00,0,117.1146390098541,0,NA,NA
100,105.5846553003641,2024-02-09 18:40:00,0,117.1146390098541,0,NA,NA
103,97.19094238881756,2024-02-09 18:45:00,0,117.1146390098541,0,NA,NA
103,100.64986534390371,2024-02-09 18:50:00,0,117.1146390098541,0,NA,NA
